fc,rm,tune.args,auc.train,cbi.train,auc.diff.avg,auc.diff.sd,auc.val.avg,auc.val.sd,cbi.val.avg,cbi.val.sd,or.10p.avg,or.10p.sd,or.mtp.avg,or.mtp.sd,AICc,delta.AICc,w.AIC,ncoef
L,1,fc.L_rm.1,0.8662386302835741,0.596,0.07453948729905899,0.026754129502901198,0.7856201769245248,0.18628839093080807,0.3975,0.3965900486228401,0.03409090909090909,0.04351941398892446,0,0,2851.6520692189497,91.06992273763717,1.676452199057052e-20,7
Q,1,fc.Q_rm.1,0.8881754949170679,0.826,0.05414216794813807,0.014436224163944491,0.8081709956709957,0.1817738878740569,0.4615,0.28946444801852034,0.09041501976284586,0.09124322795020806,0,0,2780.0006631325687,19.41851665125614,6.071504437920888e-5,8
L,2,fc.L_rm.2,0.8654360620652756,0.354,0.06164564669593875,0.035580981033616614,0.7837615283267457,0.18404682202356856,0.45325,0.25947430829788654,0.045454545454545456,0.037113480951260276,0,0,2845.753490770254,85.17134428894133,3.2007459932538573e-19,6
Q,2,fc.Q_rm.2,0.884430176565008,0.872,0.049754638252366964,0.019359946125545636,0.8019245247506117,0.1803015470401023,0.44225,0.3056210889320303,0.09041501976284586,0.09124322795020806,0,0,2760.5821464813125,0,0.9999392849556208,7
