variable,x,y
nitrogen_0-5cm,0.24880002737045281,0.4959934651851654
nitrogen_0-5cm,0.2572288272857665,0.4960927665233612
nitrogen_0-5cm,0.26565762720108027,0.49619540572166443
nitrogen_0-5cm,0.27408642711639397,0.4963013529777527
nitrogen_0-5cm,0.2825152270317077,0.49641063809394836
nitrogen_0-5cm,0.29094402694702143,0.4965232312679291
nitrogen_0-5cm,0.2993728268623352,0.4966391324996948
nitrogen_0-5cm,0.3078016267776489,0.496758371591568
nitrogen_0-5cm,0.31623042669296264,0.4968809485435486
nitrogen_0-5cm,0.32465922660827634,0.4970068335533142
nitrogen_0-5cm,0.33308802652359004,0.49713605642318726
nitrogen_0-5cm,0.3415168264389038,0.49726858735084534
nitrogen_0-5cm,0.3499456263542175,0.49740445613861084
nitrogen_0-5cm,0.35837442626953125,0.49754366278648376
nitrogen_0-5cm,0.36680322618484495,0.4976862072944641
nitrogen_0-5cm,0.3752320261001587,0.4978320598602295
nitrogen_0-5cm,0.3836608260154724,0.4979812502861023
nitrogen_0-5cm,0.3920896259307861,0.4981337785720825
nitrogen_0-5cm,0.40051842584609987,0.49828964471817017
nitrogen_0-5cm,0.40894722576141357,0.49844884872436523
nitrogen_0-5cm,0.4173760256767273,0.4986114203929901
nitrogen_0-5cm,0.425804825592041,0.4987773001194
nitrogen_0-5cm,0.4342336255073548,0.49894651770591736
nitrogen_0-5cm,0.4426624254226685,0.4991191029548645
nitrogen_0-5cm,0.4510912253379822,0.4992949962615967
nitrogen_0-5cm,0.45952002525329594,0.49947425723075867
nitrogen_0-5cm,0.4679488251686097,0.49965688586235046
nitrogen_0-5cm,0.4763776250839234,0.4998428225517273
nitrogen_0-5cm,0.4848064249992371,0.5000321269035339
nitrogen_0-5cm,0.49323522491455085,0.5002248287200928
nitrogen_0-5cm,0.5016640248298645,0.5004208087921143
nitrogen_0-5cm,0.5100928247451784,0.5006201863288879
nitrogen_0-5cm,0.518521624660492,0.500822901725769
nitrogen_0-5cm,0.5269504245758058,0.5010290145874023
nitrogen_0-5cm,0.5353792244911195,0.5012384653091431
nitrogen_0-5cm,0.5438080244064332,0.501451313495636
nitrogen_0-5cm,0.5522368243217469,0.5016674399375916
nitrogen_0-5cm,0.5606656242370607,0.5018870234489441
nitrogen_0-5cm,0.5690944241523743,0.502109944820404
nitrogen_0-5cm,0.5775232240676881,0.5023362040519714
nitrogen_0-5cm,0.5859520239830018,0.502565860748291
nitrogen_0-5cm,0.5943808238983155,0.5027989149093628
nitrogen_0-5cm,0.6028096238136293,0.503035306930542
nitrogen_0-5cm,0.611238423728943,0.5032750964164734
nitrogen_0-5cm,0.6196672236442566,0.503518283367157
nitrogen_0-5cm,0.6280960235595704,0.503764808177948
nitrogen_0-5cm,0.6365248234748841,0.5040147304534912
nitrogen_0-5cm,0.6449536233901979,0.5042680501937866
nitrogen_0-5cm,0.6533824233055117,0.5045247673988342
nitrogen_0-5cm,0.6618112232208253,0.504784882068634
nitrogen_0-5cm,0.6702400231361391,0.505048394203186
nitrogen_0-5cm,0.6786688230514528,0.5053152441978455
nitrogen_0-5cm,0.6870976229667665,0.5055855512619019
nitrogen_0-5cm,0.6955264228820802,0.5058592557907104
nitrogen_0-5cm,0.703955222797394,0.5061362981796265
nitrogen_0-5cm,0.7123840227127076,0.5064167976379395
nitrogen_0-5cm,0.7208128226280215,0.5067006945610046
nitrogen_0-5cm,0.7292416225433351,0.506987988948822
nitrogen_0-5cm,0.7376704224586489,0.5072787404060364
nitrogen_0-5cm,0.7460992223739626,0.5075728297233582
nitrogen_0-5cm,0.7545280222892763,0.5078703761100769
nitrogen_0-5cm,0.76295682220459,0.5081713199615479
nitrogen_0-5cm,0.7713856221199038,0.5084757208824158
nitrogen_0-5cm,0.7798144220352176,0.5087835192680359
nitrogen_0-5cm,0.7882432219505312,0.509094774723053
nitrogen_0-5cm,0.7966720218658448,0.5094094276428223
nitrogen_0-5cm,0.8051008217811587,0.5097274780273438
nitrogen_0-5cm,0.8135296216964724,0.5100489854812622
nitrogen_0-5cm,0.8219584216117861,0.5103739500045776
nitrogen_0-5cm,0.8303872215270998,0.51070237159729
nitrogen_0-5cm,0.8388160214424136,0.5110341906547546
nitrogen_0-5cm,0.8472448213577273,0.5113694667816162
nitrogen_0-5cm,0.855673621273041,0.51170814037323
nitrogen_0-5cm,0.8641024211883548,0.5120503306388855
nitrogen_0-5cm,0.8725312211036684,0.5123959183692932
nitrogen_0-5cm,0.8809600210189822,0.5127450227737427
nitrogen_0-5cm,0.8893888209342958,0.5130975246429443
nitrogen_0-5cm,0.8978176208496097,0.513453483581543
nitrogen_0-5cm,0.9062464207649233,0.5138128995895386
nitrogen_0-5cm,0.9146752206802371,0.5141758322715759
nitrogen_0-5cm,0.9231040205955509,0.5145421624183655
nitrogen_0-5cm,0.9315328205108645,0.5149120092391968
nitrogen_0-5cm,0.9399616204261783,0.515285313129425
nitrogen_0-5cm,0.9483904203414919,0.5156621336936951
nitrogen_0-5cm,0.9568192202568058,0.5160423517227173
nitrogen_0-5cm,0.9652480201721194,0.5164260864257812
nitrogen_0-5cm,0.9736768200874332,0.5168132781982422
nitrogen_0-5cm,0.9821056200027469,0.5172039866447449
nitrogen_0-5cm,0.9905344199180606,0.5175982117652893
nitrogen_0-5cm,0.9989632198333743,0.5179958939552307
nitrogen_0-5cm,1.0073920197486879,0.5183970332145691
nitrogen_0-5cm,1.0158208196640017,0.5188016891479492
nitrogen_0-5cm,1.0242496195793156,0.5192098617553711
